Sentiment,Category,Review
positive,clothing,excellent quality easy to use great product fast shipping perfect fit excellent quality value for money poor customer service poor customer service value for money easy to use easy to use
neutral,home appliances,highly recommend value for money fast shipping great product excellent quality easy to use
positive,electronics,poor customer service value for money poor customer service value for money excellent quality fast shipping fast shipping
positive,home appliances,perfect fit poor customer service poor customer service highly recommend great product fast shipping poor customer service easy to use value for money stylish design stylish design fast shipping stylish design perfect fit perfect fit perfect fit
neutral,home appliances,poor customer service disappointed with perfect fit stylish design value for money
positive,electronics,stylish design excellent quality value for money excellent quality highly recommend highly recommend perfect fit easy to use excellent quality poor customer service disappointed with
negative,clothing,great product excellent quality highly recommend easy to use value for money fast shipping great product fast shipping fast shipping
positive,home appliances,stylish design poor customer service easy to use fast shipping easy to use perfect fit disappointed with fast shipping
negative,home appliances,fast shipping easy to use excellent quality stylish design great product great product excellent quality excellent quality
positive,home appliances,great product stylish design value for money fast shipping poor customer service highly recommend great product value for money perfect fit disappointed with excellent quality stylish design stylish design fast shipping
neutral,home appliances,fast shipping fast shipping easy to use highly recommend value for money easy to use fast shipping perfect fit
negative,home appliances,easy to use poor customer service easy to use excellent quality perfect fit perfect fit value for money easy to use excellent quality
neutral,clothing,highly recommend excellent quality great product stylish design excellent quality value for money
neutral,electronics,value for money highly recommend fast shipping stylish design easy to use highly recommend excellent quality easy to use poor customer service poor customer service disappointed with highly recommend poor customer service excellent quality value for money disappointed with great product excellent quality highly recommend
neutral,clothing,fast shipping easy to use highly recommend excellent quality poor customer service stylish design fast shipping stylish design poor customer service stylish design excellent quality great product perfect fit easy to use poor customer service value for money poor customer service
neutral,home appliances,poor customer service great product excellent quality value for money great product easy to use perfect fit fast shipping great product easy to use poor customer service fast shipping great product fast shipping excellent quality easy to use
neutral,clothing,disappointed with value for money fast shipping great product easy to use highly recommend value for money perfect fit value for money perfect fit value for money disappointed with stylish design excellent quality great product
negative,clothing,poor customer service easy to use great product perfect fit fast shipping disappointed with stylish design stylish design highly recommend easy to use disappointed with highly recommend perfect fit excellent quality value for money perfect fit perfect fit perfect fit easy to use
neutral,electronics,great product perfect fit fast shipping value for money great product excellent quality fast shipping easy to use easy to use fast shipping great product fast shipping
positive,electronics,stylish design highly recommend perfect fit disappointed with stylish design
positive,home appliances,stylish design fast shipping excellent quality perfect fit perfect fit excellent quality highly recommend fast shipping excellent quality value for money easy to use disappointed with poor customer service excellent quality easy to use
neutral,clothing,poor customer service great product great product value for money great product stylish design
neutral,clothing,disappointed with perfect fit poor customer service perfect fit fast shipping highly recommend fast shipping excellent quality excellent quality great product disappointed with value for money fast shipping perfect fit highly recommend stylish design
positive,electronics,highly recommend disappointed with excellent quality fast shipping excellent quality fast shipping fast shipping perfect fit excellent quality perfect fit perfect fit value for money perfect fit value for money stylish design disappointed with
negative,electronics,great product stylish design disappointed with stylish design poor customer service perfect fit highly recommend highly recommend stylish design
neutral,electronics,great product fast shipping stylish design stylish design highly recommend great product easy to use great product value for money disappointed with great product value for money highly recommend highly recommend stylish design highly recommend value for money
neutral,electronics,value for money poor customer service disappointed with highly recommend poor customer service great product fast shipping highly recommend
negative,clothing,perfect fit poor customer service poor customer service value for money poor customer service highly recommend great product excellent quality
neutral,clothing,excellent quality highly recommend poor customer service easy to use great product great product value for money stylish design value for money poor customer service stylish design poor customer service disappointed with
neutral,home appliances,perfect fit easy to use stylish design great product value for money value for money easy to use perfect fit great product perfect fit value for money stylish design highly recommend disappointed with perfect fit
neutral,clothing,poor customer service poor customer service highly recommend excellent quality disappointed with disappointed with disappointed with easy to use highly recommend fast shipping value for money stylish design
positive,clothing,value for money excellent quality easy to use stylish design disappointed with easy to use highly recommend poor customer service poor customer service easy to use perfect fit
neutral,electronics,stylish design value for money value for money fast shipping value for money great product poor customer service poor customer service perfect fit fast shipping stylish design
positive,home appliances,easy to use poor customer service stylish design easy to use poor customer service poor customer service perfect fit stylish design fast shipping excellent quality disappointed with value for money easy to use great product perfect fit perfect fit fast shipping highly recommend excellent quality stylish design
negative,home appliances,great product stylish design highly recommend perfect fit disappointed with value for money great product value for money value for money perfect fit perfect fit
negative,clothing,great product perfect fit highly recommend easy to use excellent quality disappointed with value for money disappointed with easy to use fast shipping value for money excellent quality highly recommend fast shipping disappointed with
negative,electronics,highly recommend highly recommend great product highly recommend perfect fit perfect fit excellent quality excellent quality perfect fit poor customer service easy to use great product fast shipping easy to use highly recommend stylish design
negative,clothing,disappointed with excellent quality great product poor customer service value for money fast shipping value for money stylish design fast shipping disappointed with disappointed with
neutral,electronics,disappointed with poor customer service perfect fit fast shipping value for money value for money value for money value for money fast shipping poor customer service disappointed with poor customer service great product great product perfect fit stylish design perfect fit
negative,clothing,highly recommend highly recommend fast shipping poor customer service perfect fit excellent quality value for money fast shipping stylish design highly recommend great product highly recommend easy to use stylish design excellent quality poor customer service highly recommend highly recommend stylish design great product
negative,home appliances,excellent quality great product excellent quality disappointed with great product highly recommend poor customer service fast shipping easy to use perfect fit value for money great product great product
negative,electronics,stylish design stylish design poor customer service disappointed with fast shipping stylish design value for money stylish design
positive,electronics,perfect fit easy to use poor customer service stylish design highly recommend fast shipping value for money great product poor customer service highly recommend excellent quality fast shipping highly recommend poor customer service easy to use poor customer service poor customer service great product perfect fit
neutral,electronics,easy to use stylish design value for money stylish design excellent quality value for money stylish design excellent quality
negative,electronics,easy to use highly recommend perfect fit highly recommend fast shipping stylish design excellent quality fast shipping
negative,home appliances,poor customer service great product poor customer service perfect fit excellent quality stylish design easy to use easy to use stylish design fast shipping perfect fit
positive,home appliances,easy to use disappointed with excellent quality perfect fit fast shipping poor customer service fast shipping perfect fit stylish design fast shipping poor customer service perfect fit poor customer service stylish design perfect fit
positive,home appliances,stylish design fast shipping highly recommend value for money fast shipping stylish design disappointed with fast shipping
negative,home appliances,value for money value for money stylish design easy to use value for money highly recommend easy to use value for money
neutral,electronics,stylish design stylish design highly recommend disappointed with excellent quality fast shipping poor customer service great product poor customer service stylish design great product easy to use highly recommend great product easy to use perfect fit easy to use easy to use disappointed with
positive,electronics,easy to use excellent quality disappointed with highly recommend stylish design easy to use highly recommend great product value for money value for money excellent quality easy to use excellent quality value for money stylish design great product perfect fit fast shipping
negative,home appliances,fast shipping poor customer service easy to use fast shipping easy to use poor customer service great product highly recommend value for money poor customer service perfect fit value for money poor customer service poor customer service poor customer service easy to use
neutral,home appliances,fast shipping fast shipping great product perfect fit easy to use easy to use value for money excellent quality value for money fast shipping
neutral,electronics,easy to use easy to use highly recommend disappointed with poor customer service poor customer service fast shipping highly recommend excellent quality disappointed with perfect fit great product poor customer service poor customer service perfect fit value for money poor customer service poor customer service perfect fit poor customer service
neutral,clothing,stylish design stylish design perfect fit stylish design stylish design fast shipping stylish design highly recommend
neutral,electronics,easy to use excellent quality disappointed with fast shipping excellent quality perfect fit great product value for money stylish design perfect fit
negative,electronics,easy to use perfect fit great product excellent quality excellent quality perfect fit perfect fit stylish design highly recommend disappointed with excellent quality perfect fit great product disappointed with
positive,home appliances,great product excellent quality perfect fit easy to use highly recommend excellent quality disappointed with highly recommend
neutral,home appliances,easy to use stylish design easy to use fast shipping disappointed with excellent quality highly recommend highly recommend disappointed with excellent quality value for money stylish design stylish design
positive,clothing,fast shipping value for money disappointed with disappointed with disappointed with disappointed with easy to use poor customer service easy to use poor customer service value for money excellent quality
negative,electronics,value for money poor customer service highly recommend value for money great product easy to use poor customer service
neutral,clothing,poor customer service highly recommend value for money stylish design highly recommend excellent quality poor customer service easy to use fast shipping highly recommend excellent quality disappointed with fast shipping fast shipping highly recommend excellent quality disappointed with excellent quality
neutral,clothing,value for money great product highly recommend value for money fast shipping fast shipping stylish design fast shipping poor customer service excellent quality
neutral,clothing,easy to use easy to use highly recommend easy to use easy to use poor customer service easy to use highly recommend value for money easy to use perfect fit easy to use perfect fit fast shipping great product excellent quality
positive,electronics,excellent quality stylish design fast shipping value for money perfect fit value for money fast shipping
negative,home appliances,excellent quality disappointed with perfect fit perfect fit fast shipping highly recommend disappointed with highly recommend stylish design excellent quality value for money
neutral,electronics,perfect fit value for money value for money highly recommend perfect fit value for money fast shipping perfect fit fast shipping highly recommend stylish design perfect fit disappointed with fast shipping highly recommend excellent quality easy to use perfect fit great product disappointed with
neutral,home appliances,excellent quality value for money value for money easy to use easy to use fast shipping stylish design fast shipping poor customer service great product easy to use great product perfect fit highly recommend excellent quality disappointed with
negative,home appliances,value for money perfect fit disappointed with stylish design highly recommend excellent quality value for money excellent quality great product fast shipping
negative,electronics,easy to use poor customer service stylish design fast shipping poor customer service disappointed with value for money fast shipping poor customer service perfect fit great product perfect fit highly recommend highly recommend poor customer service disappointed with poor customer service great product excellent quality
neutral,electronics,great product fast shipping disappointed with poor customer service poor customer service fast shipping great product stylish design highly recommend poor customer service disappointed with
positive,home appliances,value for money value for money poor customer service stylish design poor customer service highly recommend fast shipping value for money easy to use perfect fit poor customer service
negative,electronics,disappointed with easy to use disappointed with great product easy to use great product great product value for money excellent quality
negative,electronics,poor customer service poor customer service value for money value for money perfect fit
positive,home appliances,excellent quality fast shipping highly recommend highly recommend highly recommend easy to use fast shipping poor customer service perfect fit poor customer service
negative,clothing,highly recommend stylish design highly recommend value for money fast shipping perfect fit great product perfect fit poor customer service perfect fit disappointed with disappointed with stylish design
negative,home appliances,perfect fit poor customer service highly recommend fast shipping poor customer service perfect fit disappointed with poor customer service highly recommend excellent quality perfect fit great product great product fast shipping fast shipping fast shipping easy to use fast shipping
positive,home appliances,fast shipping highly recommend value for money excellent quality fast shipping great product great product fast shipping poor customer service value for money great product disappointed with disappointed with great product poor customer service poor customer service excellent quality value for money fast shipping fast shipping
neutral,home appliances,disappointed with value for money excellent quality poor customer service fast shipping poor customer service poor customer service excellent quality poor customer service fast shipping excellent quality great product value for money poor customer service disappointed with
neutral,electronics,poor customer service perfect fit poor customer service excellent quality fast shipping stylish design poor customer service stylish design highly recommend
negative,electronics,disappointed with disappointed with value for money poor customer service easy to use
neutral,clothing,easy to use poor customer service poor customer service disappointed with stylish design disappointed with value for money great product fast shipping great product easy to use value for money poor customer service great product excellent quality easy to use fast shipping poor customer service stylish design
positive,electronics,stylish design highly recommend value for money fast shipping value for money
neutral,clothing,excellent quality easy to use perfect fit fast shipping great product disappointed with
negative,home appliances,value for money excellent quality perfect fit poor customer service great product highly recommend great product stylish design poor customer service highly recommend poor customer service
negative,clothing,great product value for money fast shipping fast shipping stylish design fast shipping highly recommend excellent quality stylish design
neutral,electronics,poor customer service highly recommend excellent quality disappointed with excellent quality stylish design
positive,clothing,poor customer service great product fast shipping great product excellent quality easy to use poor customer service great product value for money stylish design fast shipping excellent quality value for money value for money fast shipping fast shipping
positive,home appliances,easy to use easy to use poor customer service highly recommend easy to use perfect fit
negative,home appliances,stylish design highly recommend perfect fit value for money easy to use easy to use poor customer service excellent quality easy to use stylish design
negative,clothing,excellent quality highly recommend poor customer service excellent quality poor customer service excellent quality value for money stylish design value for money
positive,home appliances,value for money perfect fit value for money value for money poor customer service poor customer service stylish design great product great product poor customer service poor customer service value for money excellent quality poor customer service poor customer service disappointed with excellent quality highly recommend
neutral,electronics,excellent quality stylish design excellent quality stylish design perfect fit perfect fit easy to use poor customer service fast shipping perfect fit excellent quality excellent quality perfect fit excellent quality highly recommend disappointed with
negative,clothing,great product disappointed with excellent quality stylish design fast shipping excellent quality great product excellent quality easy to use great product highly recommend excellent quality fast shipping excellent quality great product value for money highly recommend disappointed with
negative,clothing,stylish design poor customer service poor customer service stylish design easy to use disappointed with value for money great product fast shipping stylish design poor customer service
positive,home appliances,value for money great product disappointed with excellent quality value for money poor customer service fast shipping poor customer service stylish design value for money great product
negative,home appliances,perfect fit easy to use easy to use fast shipping perfect fit fast shipping stylish design perfect fit value for money excellent quality stylish design value for money highly recommend great product poor customer service
negative,electronics,value for money highly recommend great product easy to use poor customer service highly recommend value for money easy to use highly recommend excellent quality value for money perfect fit easy to use fast shipping stylish design fast shipping
neutral,clothing,value for money disappointed with excellent quality excellent quality great product highly recommend excellent quality highly recommend stylish design great product
positive,clothing,stylish design great product value for money easy to use poor customer service value for money stylish design great product disappointed with disappointed with stylish design easy to use
negative,electronics,stylish design excellent quality poor customer service highly recommend excellent quality excellent quality excellent quality stylish design great product excellent quality great product fast shipping
neutral,clothing,great product perfect fit highly recommend easy to use value for money fast shipping poor customer service fast shipping highly recommend value for money stylish design disappointed with great product value for money easy to use
neutral,electronics,fast shipping poor customer service fast shipping value for money disappointed with value for money highly recommend great product highly recommend disappointed with
negative,home appliances,disappointed with perfect fit disappointed with perfect fit great product excellent quality fast shipping value for money disappointed with
neutral,clothing,disappointed with disappointed with disappointed with poor customer service stylish design excellent quality easy to use excellent quality value for money poor customer service perfect fit highly recommend
neutral,home appliances,easy to use disappointed with excellent quality fast shipping stylish design poor customer service disappointed with highly recommend disappointed with perfect fit disappointed with easy to use highly recommend
negative,home appliances,excellent quality disappointed with easy to use great product poor customer service perfect fit stylish design stylish design disappointed with stylish design great product disappointed with stylish design highly recommend value for money great product
neutral,home appliances,value for money disappointed with excellent quality stylish design value for money stylish design stylish design disappointed with value for money perfect fit highly recommend highly recommend highly recommend
neutral,home appliances,fast shipping disappointed with great product perfect fit perfect fit value for money great product value for money fast shipping great product easy to use easy to use fast shipping highly recommend highly recommend stylish design perfect fit perfect fit highly recommend
neutral,clothing,excellent quality excellent quality value for money value for money poor customer service value for money highly recommend value for money stylish design value for money excellent quality poor customer service excellent quality easy to use
neutral,electronics,value for money great product poor customer service disappointed with value for money stylish design stylish design value for money perfect fit stylish design great product great product excellent quality excellent quality disappointed with
negative,electronics,poor customer service stylish design perfect fit poor customer service easy to use stylish design disappointed with fast shipping excellent quality
negative,home appliances,stylish design excellent quality great product highly recommend highly recommend fast shipping easy to use easy to use great product easy to use fast shipping excellent quality stylish design disappointed with perfect fit highly recommend stylish design value for money fast shipping poor customer service
negative,electronics,highly recommend disappointed with easy to use easy to use perfect fit fast shipping easy to use excellent quality value for money highly recommend stylish design fast shipping excellent quality
negative,electronics,value for money poor customer service great product easy to use fast shipping poor customer service excellent quality value for money fast shipping perfect fit disappointed with excellent quality fast shipping
negative,electronics,disappointed with great product perfect fit great product excellent quality poor customer service highly recommend poor customer service highly recommend great product highly recommend stylish design
neutral,home appliances,easy to use excellent quality disappointed with disappointed with fast shipping easy to use
negative,electronics,value for money fast shipping disappointed with disappointed with excellent quality perfect fit excellent quality fast shipping poor customer service highly recommend fast shipping easy to use perfect fit
neutral,electronics,excellent quality easy to use perfect fit easy to use easy to use poor customer service stylish design poor customer service excellent quality excellent quality perfect fit highly recommend value for money fast shipping easy to use value for money value for money disappointed with
negative,clothing,stylish design stylish design great product great product fast shipping excellent quality perfect fit disappointed with highly recommend stylish design easy to use stylish design
positive,clothing,great product highly recommend value for money value for money fast shipping highly recommend stylish design disappointed with poor customer service stylish design value for money disappointed with perfect fit
neutral,home appliances,disappointed with disappointed with highly recommend easy to use highly recommend perfect fit perfect fit
neutral,electronics,highly recommend poor customer service disappointed with fast shipping disappointed with
neutral,clothing,disappointed with excellent quality highly recommend easy to use poor customer service disappointed with disappointed with stylish design easy to use easy to use easy to use perfect fit easy to use stylish design excellent quality fast shipping perfect fit
neutral,home appliances,easy to use highly recommend poor customer service stylish design great product poor customer service stylish design easy to use fast shipping stylish design value for money value for money fast shipping great product poor customer service easy to use poor customer service excellent quality
positive,clothing,disappointed with excellent quality excellent quality highly recommend disappointed with highly recommend fast shipping stylish design disappointed with value for money value for money easy to use value for money stylish design easy to use easy to use perfect fit value for money easy to use
positive,electronics,stylish design stylish design easy to use poor customer service disappointed with fast shipping highly recommend value for money fast shipping fast shipping excellent quality disappointed with poor customer service fast shipping highly recommend stylish design perfect fit
positive,electronics,easy to use great product great product value for money easy to use disappointed with great product stylish design fast shipping stylish design perfect fit stylish design perfect fit excellent quality highly recommend excellent quality great product value for money excellent quality
positive,electronics,highly recommend stylish design disappointed with poor customer service poor customer service poor customer service perfect fit excellent quality value for money disappointed with disappointed with stylish design disappointed with easy to use value for money great product
neutral,clothing,excellent quality highly recommend easy to use stylish design great product highly recommend easy to use stylish design excellent quality stylish design
neutral,home appliances,easy to use excellent quality value for money great product perfect fit stylish design perfect fit stylish design poor customer service
positive,electronics,fast shipping perfect fit value for money highly recommend disappointed with value for money great product easy to use great product easy to use stylish design
positive,home appliances,easy to use value for money poor customer service excellent quality value for money value for money disappointed with disappointed with poor customer service highly recommend highly recommend easy to use great product fast shipping
neutral,electronics,great product poor customer service disappointed with value for money stylish design great product fast shipping highly recommend excellent quality highly recommend great product excellent quality fast shipping highly recommend highly recommend disappointed with
negative,electronics,stylish design easy to use excellent quality highly recommend great product value for money stylish design excellent quality stylish design disappointed with
neutral,home appliances,easy to use stylish design stylish design great product excellent quality great product excellent quality great product value for money easy to use poor customer service disappointed with stylish design perfect fit fast shipping stylish design highly recommend excellent quality disappointed with
positive,clothing,poor customer service disappointed with easy to use excellent quality stylish design great product stylish design value for money value for money disappointed with value for money highly recommend value for money value for money stylish design stylish design poor customer service value for money
positive,clothing,easy to use great product perfect fit excellent quality excellent quality easy to use value for money excellent quality
neutral,electronics,value for money perfect fit easy to use perfect fit perfect fit poor customer service great product
negative,clothing,value for money poor customer service disappointed with fast shipping poor customer service perfect fit excellent quality easy to use
negative,electronics,highly recommend highly recommend highly recommend easy to use great product poor customer service easy to use value for money great product fast shipping poor customer service great product stylish design excellent quality fast shipping great product great product
positive,clothing,easy to use perfect fit value for money highly recommend disappointed with poor customer service value for money value for money great product perfect fit
positive,electronics,perfect fit highly recommend easy to use fast shipping excellent quality stylish design great product poor customer service fast shipping value for money poor customer service great product
positive,electronics,perfect fit poor customer service perfect fit value for money value for money disappointed with disappointed with value for money value for money excellent quality perfect fit easy to use
positive,clothing,poor customer service fast shipping stylish design perfect fit stylish design easy to use disappointed with perfect fit excellent quality value for money disappointed with excellent quality
negative,electronics,excellent quality highly recommend stylish design disappointed with disappointed with great product great product easy to use perfect fit disappointed with poor customer service highly recommend excellent quality fast shipping excellent quality
negative,clothing,stylish design fast shipping poor customer service disappointed with easy to use poor customer service disappointed with
positive,electronics,fast shipping excellent quality easy to use poor customer service stylish design perfect fit disappointed with excellent quality highly recommend great product stylish design stylish design stylish design perfect fit highly recommend
negative,clothing,perfect fit excellent quality value for money disappointed with fast shipping excellent quality fast shipping fast shipping stylish design value for money excellent quality excellent quality great product disappointed with highly recommend poor customer service
neutral,clothing,stylish design highly recommend easy to use perfect fit poor customer service easy to use great product poor customer service highly recommend
positive,electronics,excellent quality disappointed with stylish design perfect fit fast shipping easy to use disappointed with stylish design disappointed with excellent quality perfect fit fast shipping highly recommend perfect fit highly recommend perfect fit great product excellent quality
positive,home appliances,highly recommend highly recommend easy to use fast shipping perfect fit stylish design value for money stylish design highly recommend fast shipping easy to use poor customer service excellent quality
positive,electronics,highly recommend stylish design great product perfect fit highly recommend perfect fit stylish design perfect fit value for money disappointed with excellent quality easy to use highly recommend value for money highly recommend poor customer service
negative,clothing,poor customer service poor customer service perfect fit poor customer service value for money poor customer service poor customer service perfect fit value for money disappointed with poor customer service easy to use disappointed with fast shipping fast shipping
positive,electronics,perfect fit fast shipping great product value for money disappointed with fast shipping fast shipping great product easy to use
negative,home appliances,great product easy to use perfect fit poor customer service value for money great product perfect fit highly recommend fast shipping highly recommend poor customer service disappointed with stylish design highly recommend highly recommend great product easy to use value for money poor customer service fast shipping
neutral,home appliances,poor customer service disappointed with easy to use highly recommend excellent quality easy to use excellent quality perfect fit poor customer service fast shipping poor customer service perfect fit easy to use great product easy to use disappointed with perfect fit
negative,clothing,value for money stylish design highly recommend highly recommend easy to use easy to use
positive,clothing,excellent quality great product great product easy to use poor customer service stylish design stylish design great product stylish design excellent quality highly recommend great product highly recommend excellent quality poor customer service poor customer service perfect fit
negative,electronics,great product easy to use perfect fit disappointed with poor customer service disappointed with fast shipping value for money easy to use easy to use perfect fit stylish design great product easy to use value for money highly recommend poor customer service excellent quality fast shipping perfect fit
positive,electronics,easy to use fast shipping excellent quality perfect fit value for money fast shipping great product excellent quality highly recommend disappointed with disappointed with stylish design easy to use fast shipping fast shipping
neutral,home appliances,poor customer service disappointed with value for money great product great product highly recommend disappointed with poor customer service poor customer service perfect fit value for money poor customer service highly recommend
positive,home appliances,easy to use highly recommend perfect fit fast shipping poor customer service fast shipping fast shipping poor customer service excellent quality perfect fit disappointed with great product easy to use highly recommend
positive,electronics,stylish design highly recommend easy to use poor customer service perfect fit value for money easy to use great product great product highly recommend value for money value for money value for money poor customer service poor customer service fast shipping easy to use perfect fit value for money poor customer service
negative,electronics,fast shipping fast shipping poor customer service stylish design easy to use highly recommend disappointed with stylish design perfect fit highly recommend perfect fit perfect fit disappointed with highly recommend
neutral,electronics,poor customer service value for money great product great product highly recommend value for money easy to use highly recommend highly recommend easy to use disappointed with poor customer service
neutral,home appliances,disappointed with fast shipping easy to use easy to use easy to use perfect fit stylish design poor customer service stylish design disappointed with
positive,clothing,excellent quality disappointed with perfect fit poor customer service disappointed with perfect fit great product highly recommend great product poor customer service great product easy to use
negative,clothing,stylish design perfect fit highly recommend perfect fit disappointed with stylish design highly recommend easy to use easy to use poor customer service highly recommend easy to use perfect fit poor customer service value for money
positive,electronics,stylish design fast shipping fast shipping perfect fit disappointed with stylish design stylish design easy to use stylish design great product easy to use great product
negative,home appliances,great product disappointed with poor customer service excellent quality highly recommend disappointed with great product
positive,home appliances,easy to use disappointed with value for money value for money poor customer service great product great product highly recommend stylish design great product highly recommend stylish design easy to use excellent quality disappointed with great product
negative,home appliances,stylish design excellent quality value for money fast shipping disappointed with easy to use great product fast shipping fast shipping perfect fit perfect fit disappointed with easy to use value for money highly recommend perfect fit highly recommend poor customer service value for money excellent quality
neutral,electronics,value for money highly recommend perfect fit excellent quality stylish design great product perfect fit disappointed with disappointed with stylish design disappointed with poor customer service stylish design easy to use highly recommend excellent quality great product poor customer service
neutral,home appliances,highly recommend fast shipping value for money value for money great product poor customer service perfect fit disappointed with excellent quality great product highly recommend disappointed with highly recommend fast shipping poor customer service stylish design excellent quality disappointed with fast shipping perfect fit
positive,home appliances,excellent quality highly recommend fast shipping fast shipping excellent quality highly recommend excellent quality
positive,clothing,excellent quality fast shipping perfect fit value for money fast shipping perfect fit value for money easy to use poor customer service easy to use stylish design poor customer service easy to use
positive,home appliances,fast shipping easy to use easy to use easy to use perfect fit excellent quality great product highly recommend stylish design fast shipping great product disappointed with poor customer service great product great product poor customer service value for money
negative,clothing,highly recommend easy to use value for money disappointed with excellent quality easy to use poor customer service perfect fit highly recommend fast shipping stylish design disappointed with fast shipping great product poor customer service
positive,electronics,fast shipping great product stylish design excellent quality highly recommend great product excellent quality perfect fit value for money stylish design fast shipping poor customer service great product highly recommend perfect fit fast shipping disappointed with
neutral,clothing,highly recommend disappointed with perfect fit fast shipping fast shipping value for money highly recommend excellent quality excellent quality disappointed with easy to use perfect fit poor customer service great product stylish design excellent quality
negative,home appliances,value for money perfect fit easy to use disappointed with highly recommend poor customer service disappointed with fast shipping fast shipping disappointed with value for money disappointed with perfect fit poor customer service stylish design stylish design perfect fit disappointed with great product fast shipping
positive,electronics,fast shipping highly recommend perfect fit perfect fit highly recommend great product
negative,home appliances,value for money great product easy to use disappointed with easy to use excellent quality
negative,home appliances,stylish design disappointed with disappointed with highly recommend perfect fit disappointed with disappointed with great product easy to use disappointed with perfect fit perfect fit highly recommend
positive,electronics,value for money stylish design excellent quality fast shipping stylish design
positive,clothing,stylish design fast shipping poor customer service value for money highly recommend easy to use disappointed with value for money fast shipping value for money stylish design easy to use highly recommend easy to use excellent quality stylish design easy to use
neutral,electronics,value for money stylish design value for money easy to use stylish design poor customer service easy to use stylish design perfect fit fast shipping stylish design stylish design easy to use fast shipping poor customer service value for money highly recommend poor customer service
positive,electronics,great product highly recommend great product great product fast shipping easy to use great product easy to use disappointed with poor customer service stylish design stylish design
neutral,electronics,stylish design great product value for money highly recommend value for money perfect fit value for money easy to use easy to use
neutral,clothing,disappointed with easy to use poor customer service fast shipping fast shipping great product poor customer service perfect fit disappointed with highly recommend perfect fit easy to use perfect fit poor customer service value for money excellent quality
negative,electronics,poor customer service fast shipping disappointed with poor customer service stylish design stylish design value for money disappointed with stylish design fast shipping easy to use value for money value for money
neutral,clothing,excellent quality easy to use easy to use perfect fit value for money disappointed with highly recommend stylish design disappointed with great product poor customer service
negative,electronics,highly recommend fast shipping highly recommend disappointed with highly recommend stylish design perfect fit disappointed with excellent quality great product disappointed with fast shipping disappointed with value for money poor customer service value for money fast shipping easy to use
neutral,clothing,perfect fit great product perfect fit value for money easy to use fast shipping perfect fit value for money stylish design excellent quality perfect fit stylish design excellent quality disappointed with
negative,clothing,value for money fast shipping great product disappointed with great product stylish design poor customer service fast shipping great product stylish design perfect fit poor customer service stylish design highly recommend easy to use poor customer service excellent quality highly recommend
positive,clothing,highly recommend highly recommend highly recommend excellent quality highly recommend great product perfect fit excellent quality great product excellent quality perfect fit value for money easy to use perfect fit stylish design
positive,clothing,easy to use great product easy to use value for money disappointed with value for money highly recommend easy to use fast shipping
positive,electronics,poor customer service perfect fit excellent quality great product highly recommend perfect fit
neutral,electronics,fast shipping easy to use value for money fast shipping stylish design fast shipping great product easy to use stylish design value for money disappointed with
positive,home appliances,value for money easy to use fast shipping disappointed with highly recommend great product great product excellent quality poor customer service
positive,home appliances,fast shipping easy to use poor customer service disappointed with perfect fit stylish design easy to use great product stylish design disappointed with stylish design excellent quality stylish design stylish design
